Customer ID,Age,Gender,Item Purchased,Category,Unit sold,Unit Price,Purchase_Amount_inr,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
50,68,Male,Hoodie,Clothing,2,1500,3000,Raipur,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,18,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,2,1400,2800,Goa,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,3,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,3,2950,8850,Udaipur,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,41,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,1,1000,1000,Jodhpur,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,20,Credit Card,Weekly
54,29,Male,Skirt,Clothing,2,1200,2400,Rajkot,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,7,Credit Card,Weekly
55,47,Male,Coat,Outerwear,3,4700,14100,Vadodara,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,33,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,3,1400,4200,Siliguri,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,28,Credit Card,Annually
57,41,Male,Backpack,Accessories,2,3650,7300,Guwahati,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
58,21,Male,Coat,Outerwear,4,3200,12800,Imphal,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,6,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,1,2700,2700,Aizawl,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,45,Cash,Monthly
60,63,Male,Belt,Accessories,2,3950,7900,Shillong,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,6,UPI,Weekly
61,50,Male,Sweater,Clothing,1,1850,1850,Mumbai,L,Brown,Summer,4,Yes,Express,Yes,Yes,39,PhonePe,Weekly
62,55,Male,Scarf,Accessories,3,3400,10200,Pune,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,11,Google Pay,Every 3 Months
63,30,Male,Sneakers,Footwear,1,1050,1050,Delhi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,4,Paytm,Fortnightly
64,33,Male,Sunglasses,Accessories,3,3950,11850,Bengaluru,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,25,Credit Card,Weekly
65,65,Male,Boots,Footwear,1,4150,4150,Hyderabad,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,5,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,2,1800,3600,Chennai,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,25,Net Banking,Every 3 Months
67,31,Male,Blouse,Clothing,1,4700,4700,Kolkata,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,33,Amazon Pay,Every 3 Months
68,45,Male,Coat,Outerwear,2,1650,3300,Ahmedabad,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,31,EMI,Monthly
69,57,Male,Handbag,Accessories,3,2300,6900,Surat,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,19,Cash,Every 3 Months
70,48,Male,Belt,Accessories,5,3500,17500,Jaipur,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,37,Cash,Weekly
71,22,Male,Belt,Accessories,2,1450,2900,Lucknow,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,1,2400,2400,Kanpur,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,37,Cash,Annually
73,18,Male,Dress,Clothing,3,1300,3900,Nagpur,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,24,UPI,Every 3 Months
74,48,Male,Pants,Clothing,3,4250,12750,Indore,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,7,PhonePe,Bi-Weekly
75,49,Male,Gloves,Accessories,3,2900,8700,Bhopal,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Google Pay,Monthly
76,64,Male,Scarf,Accessories,2,4250,8500,Patna,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,13,Paytm,Annually
77,50,Male,Hat,Accessories,1,2150,2150,Ranchi,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,37,Credit Card,Monthly
78,22,Male,Dress,Clothing,2,2650,5300,Bhubaneswar,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,31,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,1,4550,4550,Visakhapatnam,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,7,Net Banking,Fortnightly
80,38,Male,Jacket,Outerwear,1,4800,4800,Vijayawada,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,1,Amazon Pay,Every 3 Months
81,19,Male,Sandals,Footwear,1,3600,3600,Kochi,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,15,EMI,Every 3 Months
82,67,Male,Shoes,Footwear,3,4800,14400,Thiruvananthapuram,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,2,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,2,1400,2800,Coimbatore,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,34,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,4,2000,8000,Madurai,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,6,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,3,1600,4800,Mysuru,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,14,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,2,4750,9500,Mangaluru,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,37,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,2,2050,4100,Nashik,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,12,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,1,2650,2650,Aurangabad,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,21,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,2,2350,4700,Kolhapur,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,10,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,3,4150,12450,Thane,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,39,Cash,Quarterly
91,25,Male,Hat,Accessories,3,2400,7200,Navi Mumbai,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,31,Credit Card,Monthly
92,44,Male,Scarf,Accessories,1,4950,4950,Vasai-Virar,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,24,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,3,4350,13050,Kalyan-Dombivli,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,37,Cash,Every 3 Months
94,37,Male,Sweater,Clothing,2,3100,6200,Noida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,36,UPI,Weekly
95,58,Male,Skirt,Clothing,3,3800,11400,Gurugram,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,16,PhonePe,Weekly
96,37,Male,Sneakers,Footwear,2,5000,10000,Faridabad,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,1,Google Pay,Monthly
97,32,Male,Gloves,Accessories,2,3650,7300,Ghaziabad,S,Gold,Spring,,Yes,Express,Yes,Yes,5,Paytm,Every 3 Months
98,21,Male,Shoes,Footwear,1,4600,4600,Chandigarh,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,9,Credit Card,Annually
99,20,Male,Jeans,Clothing,2,3350,6700,Ludhiana,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,25,Debit Card,Annually
100,26,Male,Hoodie,Clothing,3,2000,6000,Amritsar,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,20,Net Banking,Quarterly
101,62,Male,Sunglasses,Accessories,1,4900,4900,Jammu,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,20,Amazon Pay,Fortnightly
102,27,Male,Coat,Outerwear,1,4250,4250,Srinagar,XL,White,Spring,4.6,Yes,Express,Yes,Yes,9,EMI,Bi-Weekly
103,51,Male,Socks,Clothing,2,3350,6700,Shimla,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,46,Credit Card,Quarterly
104,54,Male,Boots,Footwear,3,4450,13350,Dehradun,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,35,Cash,Bi-Weekly
105,55,Male,Sunglasses,Accessories,1,1200,1200,Agra,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,7,UPI,Monthly
106,69,Male,Backpack,Accessories,2,4800,9600,Varanasi,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,10,PhonePe,Annually
107,64,Male,Jacket,Outerwear,3,1750,5250,Prayagraj,L,White,Summer,3.7,Yes,Standard,Yes,Yes,11,Google Pay,Monthly
108,28,Male,Sneakers,Footwear,1,3350,3350,Gwalior,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,11,Paytm,Fortnightly
109,70,Male,Socks,Clothing,1,3950,3950,Jabalpur,L,Purple,Spring,,Yes,Next Day Air,Yes,Yes,2,Credit Card,Bi-Weekly
110,58,Male,T-shirt,Clothing,2,4250,8500,Raipur,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,37,Debit Card,Fortnightly
111,56,Male,Backpack,Accessories,1,1300,1300,Goa,M,Black,Summer,4,Yes,Standard,Yes,Yes,20,Net Banking,Fortnightly
112,26,Male,Belt,Accessories,1,3750,3750,Udaipur,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,6,Amazon Pay,Annually
113,37,Male,Gloves,Accessories,2,3250,6500,Jodhpur,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,EMI,Bi-Weekly
114,44,Male,Hat,Accessories,2,2700,5400,Rajkot,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,42,Cash,Quarterly
115,70,Male,Coat,Outerwear,2,4750,9500,Vadodara,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,26,UPI,Weekly
116,53,Male,Skirt,Clothing,2,4700,9400,Siliguri,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,27,PhonePe,Every 3 Months
117,55,Male,Shoes,Footwear,5,4300,21500,Guwahati,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,24,Google Pay,Annually
118,50,Male,Sandals,Footwear,3,1600,4800,Imphal,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,41,Paytm,Fortnightly
119,50,Male,Sweater,Clothing,3,2250,6750,Aizawl,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,24,Credit Card,Bi-Weekly
120,38,Male,Coat,Outerwear,2,3800,7600,Shillong,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,32,Debit Card,Annually
121,64,Male,Hat,Accessories,3,4200,12600,Mumbai,L,Red,Summer,4,Yes,Express,Yes,Yes,30,Net Banking,Annually
122,19,Male,Shorts,Clothing,1,3600,3600,Pune,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,47,Amazon Pay,Fortnightly
123,40,Male,Backpack,Accessories,2,2000,4000,Delhi,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,39,EMI,Fortnightly
124,57,Male,Sweater,Clothing,2,4450,8900,Bengaluru,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,49,Cash,Weekly
125,44,Male,Sweater,Clothing,2,4300,8600,Hyderabad,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,20,Cash,Annually
126,49,Male,Shorts,Clothing,2,2700,5400,Chennai,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,6,UPI,Every 3 Months
127,43,Male,Shorts,Clothing,3,1800,5400,Kolkata,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,50,PhonePe,Every 3 Months
128,24,Male,Sweater,Clothing,1,4450,4450,Ahmedabad,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,27,Google Pay,Weekly
129,20,Male,Scarf,Accessories,1,1600,1600,Surat,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,41,Paytm,Fortnightly
130,24,Male,Dress,Clothing,3,3350,10050,Jaipur,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,15,Credit Card,Bi-Weekly
131,44,Male,Scarf,Accessories,3,1950,5850,Lucknow,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,33,Debit Card,Fortnightly
132,28,Male,Skirt,Clothing,1,1450,1450,Kanpur,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,16,Net Banking,Weekly
133,30,Male,Backpack,Accessories,2,2900,5800,Nagpur,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,38,Amazon Pay,Weekly
134,52,Male,Sweater,Clothing,1,3250,3250,Indore,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,6,EMI,Annually
135,43,Male,Hat,Accessories,1,4700,4700,Bhopal,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,10,Cash,Monthly
136,43,Male,Sandals,Footwear,3,4050,12150,Patna,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,39,Cash,Quarterly
137,39,Male,Blouse,Clothing,3,4300,12900,Ranchi,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,14,UPI,Quarterly
138,68,Male,Sneakers,Footwear,2,2150,4300,Bhubaneswar,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,16,PhonePe,Weekly
139,68,Male,Skirt,Clothing,3,1450,4350,Visakhapatnam,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,9,Google Pay,Weekly
140,49,Male,Coat,Outerwear,3,4750,14250,Vijayawada,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,19,Paytm,Annually
141,63,Male,Shirt,Clothing,1,1400,1400,Kochi,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
142,56,Male,Gloves,Accessories,2,2300,4600,Thiruvananthapuram,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,24,Debit Card,Weekly
143,37,Male,Jacket,Outerwear,1,2900,2900,Coimbatore,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,49,Net Banking,Fortnightly
144,30,Male,Coat,Outerwear,1,2400,2400,Madurai,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,35,Amazon Pay,Quarterly
145,19,Male,Shoes,Footwear,1,2150,2150,Mysuru,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,42,EMI,Monthly
146,24,Male,Jewelry,Accessories,3,4750,14250,Mangaluru,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,21,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,2,1500,3000,Nashik,S,Black,Fall,4,Yes,Standard,Yes,Yes,39,Google Pay,Fortnightly
148,63,Male,Shoes,Footwear,2,3200,6400,Aurangabad,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,33,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,1,4500,4500,Kolhapur,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,33,Debit Card,Annually
150,38,Male,Pants,Clothing,1,3800,3800,Thane,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,39,Cash,Monthly
151,35,Male,Boots,Footwear,3,4800,14400,Navi Mumbai,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,11,UPI,Every 3 Months
152,28,Male,Sunglasses,Accessories,2,2350,4700,Vasai-Virar,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,6,PhonePe,Annually
153,30,Male,Shirt,Clothing,2,4250,8500,Kalyan-Dombivli,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,6,Google Pay,Annually
154,69,Male,Hoodie,Clothing,3,2750,8250,Noida,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,23,Paytm,Annually
155,41,Male,Dress,Clothing,3,4900,14700,Gurugram,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,19,Credit Card,Quarterly
156,63,Male,Socks,Clothing,3,3850,11550,Faridabad,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,2,Debit Card,Quarterly
157,35,Male,Shorts,Clothing,2,1300,2600,Ghaziabad,M,Lavender,Fall,4,Yes,Standard,Yes,Yes,33,Net Banking,Annually
158,36,Male,Hat,Accessories,2,3400,6800,Chandigarh,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,7,Amazon Pay,Fortnightly
159,25,Male,Shirt,Clothing,3,3650,10950,Ludhiana,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,24,EMI,Monthly
160,58,Male,Gloves,Accessories,2,1350,2700,Amritsar,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,1,1150,1150,Jammu,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,10,Cash,Monthly
162,65,Male,Backpack,Accessories,4,2450,9800,Srinagar,M,Olive,Fall,3,Yes,Express,Yes,Yes,11,UPI,Fortnightly
163,54,Male,Sunglasses,Accessories,2,3700,7400,Shimla,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,14,PhonePe,Bi-Weekly
164,54,Male,Skirt,Clothing,1,3350,3350,Dehradun,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,19,Google Pay,Weekly
165,59,Male,Handbag,Accessories,1,3250,3250,Agra,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,46,Paytm,Fortnightly
166,42,Male,Handbag,Accessories,2,3000,6000,Varanasi,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,31,Credit Card,Monthly
167,46,Male,Sneakers,Footwear,1,1550,1550,Prayagraj,XL,Indigo,Fall,4,Yes,Store Pickup,Yes,Yes,27,Debit Card,Monthly
168,33,Male,Gloves,Accessories,3,1350,4050,Gwalior,M,Green,Fall,4,Yes,Express,Yes,Yes,31,Net Banking,Every 3 Months
169,34,Male,Shoes,Footwear,3,4000,12000,Jabalpur,M,Magenta,Summer,3,Yes,Express,Yes,Yes,7,Amazon Pay,Fortnightly
170,27,Male,Jacket,Outerwear,2,1500,3000,Raipur,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,25,EMI,Every 3 Months
171,52,Male,Shirt,Clothing,3,1250,3750,Goa,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,41,EMI,Bi-Weekly
172,29,Male,Shorts,Clothing,1,1750,1750,Udaipur,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,49,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,3,3350,10050,Jodhpur,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,43,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,1,2300,2300,Rajkot,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,33,Cash,Annually
175,41,Male,Shoes,Footwear,1,1750,1750,Vadodara,L,Brown,Winter,3.5,Yes,Express,Yes,Yes,9,Cash,Annually
176,53,Male,Coat,Outerwear,2,4300,8600,Siliguri,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,21,UPI,Annually
177,53,Male,Backpack,Accessories,1,4050,4050,Guwahati,L,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,44,PhonePe,Quarterly
178,21,Male,Hoodie,Clothing,3,2100,6300,Imphal,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,18,Google Pay,Monthly
